Name,HÖHE,Layer,Position X,Position Y,Position Z,INFO,KOORDINATEN,MESSWERT,NUMMER
HP_FERTIG_OBERKANTE,52.18,HÖHEN,4462796.6120,5794113.8490,52.3220,,,,
HP_FERTIG_OBERKANTE,52.99,HÖHEN,4462813.0850,5794100.7670,53.1350,,,,
HP_FERTIG_OBERKANTE,51.40,HÖHEN,4462778.4290,5794128.7520,51.5370,,,,
HP_FERTIG_OBERKANTE,51.42,HÖHEN,4462772.7020,5794124.1860,51.5630,,,,
HP_FERTIG_OBERKANTE,50.69,HÖHEN,4462776.6440,5794109.5700,50.8260,,,,
HP_FERTIG_OBERKANTE,51.25,HÖHEN,4462779.3000,5794126.5770,51.3910,,,,
HP_FERTIG_OBERKANTE,51.37,HÖHEN,4462771.9030,5794122.0890,51.5090,,,,
HP_FERTIG_OBERKANTE,51.23,HÖHEN,4462777.7770,5794119.9900,51.3710,,,,
HP_FERTIG_OBERKANTE,51.42,HÖHEN,4462763.5110,5794115.2580,51.5590,,,,
HP_FERTIG_OBERKANTE,51.35,HÖHEN,4462770.4540,5794122.5140,51.4870,,,,
HP_FERTIG_OBERKANTE,51.35,HÖHEN,4462768.8090,5794122.4910,51.4900,,,,
HP_FERTIG_OBERKANTE,53.16,HÖHEN,4462764.3290,5794073.6240,53.3000,,,,
HP_FERTIG_OBERKANTE,52.99,HÖHEN,4462773.0380,5794075.1460,53.1280,,,,
HP_FERTIG_OBERKANTE,53.02,HÖHEN,4462799.4484,5794115.9635,53.1570,,,,
HP_FERTIG_OBERKANTE,53.35,HÖHEN,4462782.6231,5794131.6041,53.4910,,,,
HP_FERTIG_OBERKANTE,53.06,HÖHEN,4462780.7890,5794076.2360,53.2000,,,,
HP_FERTIG_OBERKANTE,51.56,HÖHEN,4462743.2550,5794099.2860,51.7050,,,,
HP_FERTIG_OBERKANTE,50.54,HÖHEN,4462783.6770,5794121.0580,50.6770,,,,
HP_FERTIG_OBERKANTE,53.12,HÖHEN,4462776.7800,5794070.1740,53.2640,,,,
HP_FERTIG_OBERKANTE,53.27,HÖHEN,4462770.3260,5794070.0000,53.4100,,,,
HP_FERTIG_OBERKANTE,51.20,HÖHEN,4462782.7150,5794125.5890,51.3360,,,,
